id,title,funder,source,url,description,deadline,amount_max,currency,country,region,relevance,fetched_at
d60ea14880cc,Overview,Tata Trusts,asia:tata-trusts,https://www.tatatrusts.org/home,"X 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 Environment and Energy 
 Way forward for survival 
 
 
 
 
 
 
 
 
 
 Home  Our Work 
 
 Share 
 
 
 
 
 
 
 
 
 
 
 Overview 
 In a resource-scarce world that is becoming increasingly exposed to climate change, preservation of the environment is an imperative, and sustainability is the way forward for survival. The contribution of the T",,in.,,IN,,22,2026-06-30T23:34:34.152319+00:00
2bf094f631dd,Themes in this portfolio,Tata Trusts,asia:tata-trusts,https://www.tatatrusts.org/our-work/environment-and-energy/energy,"Themes in this portfolio 
 
 
 
 
 
 
 Energy 
 Enhancing the scale and reach of clean, affordable energy and the eradication of poverty. 
 
 Read more 
 
 
 
 
 
 
 
 
 Climate change 
 Creating livelihoods and improving the future through technology, capacity-building, data convergence, and collaboration with stakeholders. 
 
 Read more 
 
 
 
 
 
 
 
 
 Sustainability 
 Conserving species a",,,,IN,,22,2026-06-30T23:34:34.158300+00:00
8151c9f7b71b,Choose from the domains below and apply for Wipro Foundation Grants.,Wipro Foundation,asia:wipro,https://www.wiprofoundation.org/index.php/our-initiatives/education/,"Choose from the domains below and apply for Wipro Foundation Grants.   
 
 
 
 
 
 
 
   
 
 
 
 
 
 
 
 
 
                    Education                 
 Enabling systemic education reforms and improving access to education for underserved children. 
 
 
 
                                        Know more",,,,IN,,6,2026-06-30T23:34:28.556045+00:00
9e561c2d3718,Quick Links,Wipro Foundation,asia:wipro,https://www.dmca.com/Protection/Status.aspx?ID=2addc366-ccaf-41b7-a53e-415c0d03b952&refurl=https://www.wiprofoundation.org/,"Wipro Foundation is the Corporate Social Responsibility (CSR) entity of Wipro Limited. Going back over two decades, we focus on social initiatives in the domains of Education, Primary Healthcare, Ecology, Disaster Response, and Cities & Public Spaces.    
 
 
 
 
   
 
 
 
 
 
 
 
 
 Quick Links   
 
 
 
 
 CSR Policy 
 Wipro Cares 
 FAQs 
 Privacy Policy 
 Careers 
 Contact",,,,IN,,6,2026-06-30T23:34:28.557327+00:00
e57ed18ccf54,Connect With Us,Wipro Foundation,asia:wipro,https://www.facebook.com/wiprofoundation,"Connect With Us   
 
 
 
 
 
 
 
   
 
 
 
 
   
 
 
 
 
   
 
 
 
 
   
 
 
 
 
 
 
 
 
 
 
 Grants   Login   Register",,,,IN,,4,2026-06-30T23:34:28.554039+00:00
fb4a17467f00,Welcome Grantseekers,Wipro Foundation,asia:wipro,https://www.wiprofoundation.org/wipro-grants/,Welcome Grantseekers,,,,IN,,4,2026-06-30T23:34:28.555260+00:00
78b3f8d6e1a4,The Fifth Estate Compendium Edition IX,HCL Foundation,asia:hcl,https://www.hclfoundation.org/sites/default/files/flipbooks/edition_VIII/HCL_RoliBooks%20-%20Fifth%20Estate/index.html,"HCLTech Grant   |  Compendium 
 
 
 The Fifth Estate Compendium Edition IX 
 
 
 Download 
 View 
 
 
 
 
 
 
 
 
   
 
 
 
 
  HCLTech Grant   |  Compendium 
 
 
 The Fifth Estate Compendium Edition VIII 
 
 
 Download 
 View 
 
 
 
 
 
 
 
 
   
 
 
 
 
  HCLTech Grant   |  Compendium 
 
 
 The Fifth Estate Compendium Vol VII 
 
 
 Download 
 View",,,,IN,,4,2026-06-30T23:34:32.077451+00:00
d8c05fa0da76,Impact Stories,Tata Trusts,asia:tata-trusts,https://www.tatatrusts.org/our-stories/article/sustainable-solutions-for-perennial-water-woes,"Impact Stories   
 
 
 
 
 
 
 
 Sustainable solutions for perennial water woes 
 
 
 
 
 
 Jhaltola Lake, once a marshy watering hole for animals, is today a source of potable water for communities in ... 
 
 
 
 
 
 
 
 
 
 Sustainable alternatives for brighter futures 
 
 
 
 
 
 A Tata Trusts project in Manipur is enhancing economic growth through renewable energy 
 
 
 
 
 
 
 
 
 
 Straw",,in ...,,IN,,4,2026-06-30T23:34:34.158782+00:00
65ef4ebaf7c4,Programs & Apply,Korea Foundation,asia:korea-foundation,https://apply.kf.or.kr:443/selectNoticeAndApplicationList.nkf,"Programs & Apply 
 The Korea Foundation offers a variety of funding programs to individuals and organizations that do diverse activities to promote mutual understanding between Korea and the world. 
 
 
 
 
 
 
 
 
													
														
														
															There are currently no programs in progress.
														
														
													
												 
 
 
 
 VIEW MORE",,,,KR,,2,2026-06-30T23:34:46.965792+00:00
