id,title,funder,source,url,description,deadline,amount_max,currency,country,region,relevance,fetched_at
afe0f4c0f994,Global Greengrants Fund — Grassroots Environmental Grants,Global Greengrants Fund,greengrants.org,https://www.greengrants.org/apply-for-a-grant/,"Global Greengrants Fund provides small grants ($500–$5,000) for grassroots environmental and climate justice movements worldwide. Focus areas: indigenous rights, biodiversity, water justice, climate action, community-led conservation, and environmental health. Rolling applications with priority to underrepresented groups.",,,USD,GLOBAL,,82,2026-06-30T23:57:50.854068+00:00
e9b79659feb2,"HCLTech Grant — Water, Biodiversity & Environment",HCLFoundation,asia:hcl,https://www.hclfoundation.org/hcltech-grant,"Annual grant program from HCLFoundation for projects addressing water conservation, biodiversity protection, and environmental sustainability. Grants up to ₹5 Crore (~$600,000 USD). Open to registered NGOs and civil society organizations in India working on climate action and community resilience.",,50000000,INR,IN,,76,2026-06-30T23:57:59.608359+00:00
709dc032a3d9,80+ Funding Opportunities for Environment and Climate Action,,fundsforngos.org,https://www2.fundsforngos.org/listing/80-funding-opportunities-for-environment-and-climate-action/,"80+ Funding Opportunities for Environment and Climate Action 
 [June 2026]

Explore 80+ funding opportunities for environment and climate action. This guide features grants, awards, fellowships, and innovation opportunities supporting biodiversity conservation, sustainability, climate resilience, clean technology, ocean protection, and environmental …  [Read more...]  about 80+ Funding Opportuniti",,,,GLOBAL,,68,2026-06-30T23:58:44.990847+00:00
cf38fdd5695c,Climate Justice Resilience Fund — Grantmaking,Climate Justice Resilience Fund,cjrfund.org,https://cjrfund.org/our-grants/,"CJRF funds women, youth, and Indigenous communities responding to climate change. Focus on locally-led adaptation, climate justice, and community resilience in Africa, Asia, Latin America, and the Arctic. Multi-year grants for grassroots organizations. Priority: gender equity, Indigenous knowledge, and youth leadership in climate action.",,,,GLOBAL,,66,2026-06-30T23:57:50.847880+00:00
47f3479231c5,Calouste Gulbenkian Foundation — Programmes,Calouste Gulbenkian Foundation,gulbenkian.pt,https://gulbenkian.pt/programas/,"Gulbenkian Foundation supports projects in arts, environment, science, and social development. Focus areas: climate action, ocean conservation, cultural heritage, education, and social inclusion. Multi-year programmes with open calls throughout the year. Grants for NGOs, research institutions, and cultural organizations in Portugal and internationally.",,,EUR,EU,,62,2026-06-30T23:57:50.843229+00:00
b9024fb7b1d1,EEA and Norway Grants — Funding Programmes,EEA and Norway Grants,eeagrants.org,https://eeagrants.org/,"EEA and Norway Grants provide funding to 15 EU member states for projects in environment, climate change, civil society, culture, and social inclusion. Funded by Iceland, Liechtenstein, and Norway. Open calls managed by national Focal Points in each beneficiary country. Focus: green transition, democratic engagement, human rights, and cultural cooperation.",,,EUR,EU,,60,2026-06-30T23:57:50.842731+00:00
154b5d7b4552,Emerging Climate Champions Award — $1 Million Grants,Enlight Foundation / Lever For Change / Patchwork Collective,emerging-climate-champions,https://www.leverforchange.org/,"Bold $25 million global open call offering multiyear, flexible $1 million grants to youth-led organizations advancing climate solutions worldwide. Partnership of Enlight Foundation, The Patchwork Collective, and Lever For Change. Focus: youth-led, climate justice, socio-environmental, grassroots, global south.",,1000000,USD,GLOBAL,,60,2026-06-30T23:57:50.849061+00:00
7bd3ba14f66d,Incredible Funding Opportunities for Animal and Wildlife Conservation,,fundsforngos.org,https://www2.fundsforngos.org/listing/incredible-funding-opportunities-for-animal-and-wildlife-conservation/,"Incredible Funding Opportunities for Animal and Wildlife Conservation 
 [June 2026]








Explore a curated selection of funding opportunities supporting animal welfare, wildlife conservation, and biodiversity protection. These grants are open to NGOs, researchers, and conservation practitioners working on species protection, habitat restoration, marine and …  [Read more...]  about Incredible Fu",,,,GLOBAL,,60,2026-06-30T23:58:44.991902+00:00
89cdf05bcba1,Povos indígenas na linha de frente contra incêndios florestais na Amazônia,Fundo Casa Socioambiental,casa.org.br,https://casa.org.br/povos-indigenas-na-linha-de-frente-contra-incendios-florestais-na-amazonia/,"A chamada “Fortalecendo a autonomia e resiliência dos Povos Indígenas” apoiou 30 projetos em 39 Terras Indígenas, capacitando mais de 300 brigadistas e fornecendo equipamentos essenciais para fortalecer a proteção da Amazônia. A Amazônia enfrenta desafios cada vez maiores: incêndios florestais e desmatamento avançam sobre territórios indígenas, ameaçando comunidades e a biodiversidade. Os povos indígenas, que há séculos protegem a floresta, seguem na linha de frente dessa luta, mas precisam de e",,,,BR,,58,2026-06-30T23:57:55.145483+00:00
1faa49e8d7d5,Fundo Ecos lança edital para fortalecer organizações de base comunitária na Amazônia Legal,ISPN,ispn.org.br,https://ispn.org.br/noticia/fundo-ecos-lanca-edital-para-fortalecer-organizacoes-de-base-comunitaria-na-amazonia-legal/,"Organizações de base comunitária protagonizadas por povos indígenas, quilombolas, comunidades tradicionais e agricultores familiares dos estados do Maranhão, Tocantins e Mato Grosso poderão participar do 49º Edital do Fundo Ecos. O Instituto Sociedade, População e Natureza (ISPN), responsável pela gestão do Fundo Ecos , lança a chamada no âmbito do projeto Territórios Amazônicos Sociobiodiversos ( TAIPAS ), em parceria com o Forests, People, Climate ( FPC ) , uma plataforma estratégica de filant",,,,BR,,58,2026-06-30T23:58:04.999843+00:00
